source_id,source_name,exact_url,publisher,source_class,engine_components,available_fields,identifier_systems,historical_coverage,update_cadence,publication_timestamp_support,historical_vintage_support,access_method,free_or_paid,license_or_terms_url,automation_permissions,raw_artifact_format,join_requirements,chronology_hazards,quality_limitations,verification_timestamp,unresolved_questions
dp_ff_playerids,DynastyProcess ff_playerids crosswalk,https://nflreadr.nflverse.com/articles/dictionary_ff_playerids.html,DynastyProcess via nflreadr::load_ff_playerids(),secondary crosswalk,identity graph fantasy and platform axis,"mfl_id (primary), sportradar_id, fantasypros_id, gsis_id, pff_id, sleeper_id, nfl_id, espn_id, yahoo_id, fleaflicker_id, cbs_id, rotowire_id, rotoworld_id, ktc_id, pfr_id, cfbref_id, stats_id, stats_global_id, fantasy_data_id, swish_id, name, merge_name, position, team, birthdate, draft fields",see fields; no DraftKings or FanDuel id,active and recent players,UNKNOWN,none,none,R function or GitHub raw CSV (URL UNKNOWN in this session),free,UNKNOWN,UNKNOWN,csv,gsis_id or sportradar_id,team field is current,mfl_id is the only complete key,2026-09-21T18:00Z,direct download URL; license
nfl_inactives_article,NFL.com weekly inactives article,https://www.nfl.com/news/nfl-week-2-inactives-players-ruled-out-sunday-14-games-2026,NFL (official league media),official (league publication of club submissions),availability tier 1,"per game: team, player names, positions; no ids",names only,one article per week; prior weeks discoverable by URL pattern UNKNOWN,"~90 minutes before each kickoff window, edited incrementally",page metadata only; must record retrieval time,NO unless self-archived,HTTPS GET HTML,free,https://www.nfl.com/legal/terms (not fetched this session),UNKNOWN; personal-use terms apply,html,name plus team to gsis_id via rosters (IDENTITY_UNRESOLVED on ambiguity),article edited during the day; earlier retrievals differ,names without suffix normalization,2026-09-21T18:00Z,terms of automated retrieval
club_inactives,"Club inactives posts (e.g. colts.com/news/inactives/, chiefs.com/news/)",https://www.colts.com/news/inactives/,NFL clubs,official club,availability tier 1 corroboration,headline list; article body with names,names,club dependent,~90 minutes before kickoff,article timestamp in page,NO unless self-archived,HTTPS GET HTML,free,UNKNOWN,UNKNOWN,html,name to gsis_id,headline lists load before body content,inconsistent URL structure across clubs,2026-09-21T18:00Z,per-club URL registry incomplete
nfl_transactions,NFL.com league transactions,https://www.nfl.com/transactions/,NFL,official,availability tier 3; roster events,"categories Trades, Signings, Reserve List, Waivers, Terminations, Other; per-item fields not observable in this session (page rendered No Transactions Available)",names,by year and month selectors,UNKNOWN,UNKNOWN,UNKNOWN,HTML (JS-rendered),free,UNKNOWN,UNKNOWN,html,name to gsis_id,UNKNOWN,content not server-rendered in this session,2026-09-21T18:00Z,underlying JSON endpoint; per-transaction timestamps
nfl_gamebook,NFL GSIS Game Book (PDF and XML),https://www.nflgsis.com/2025/REG/15/60059/Gamebook.pdf,NFL GSIS,official,"post-game truth: starters, participation, officials, weather line, play-by-play","game summary, starters, inactives, participation, drive charts, play-by-play text, officials, attendance, weather",GSIS game key in URL (season/type/week/gamekey); names in PDF,per season directory,PDF link appears within minutes after game end (https://www.nflgsis.com/Help/About.html),none,post-game fact,HTTPS GET PDF; XML available to organizations on request,free PDF; XML by arrangement,UNKNOWN,UNKNOWN,"pdf, xml",gamekey to nflverse old_game_id; names to gsis_id,none (post-game),PDF parsing,2026-09-21T18:00Z,XML access terms
cba_art33,CBA Article 33 Section 5 practice squad elevations,https://overthecap.com/collective-bargaining-agreement/article/33/section/5,Over The Cap (republication of NFL-NFLPA CBA),secondary republication of primary rule,roster rules engine: elevation limits and reversion,max two elevations per player per League Year; max two per club per game; automatic reversion 4:00 pm NY time first business day after game,none,2020 CBA,static,n/a,n/a,HTML,free,UNKNOWN,n/a (rule text),html,none,later amendments (e.g. 3-elevation changes) not verified here,republication; verify against NFL Football Operations,2026-09-21T18:00Z,current elevation count after 2022 amendments UNKNOWN in this session
nfl_emergency_qb,NFL emergency third quarterback rule Q&A,https://www.nfl.com/news/nfl-emergency-third-quarterback-rule-questions-and-answers,NFL,official,QB room model; active list rules,49th player dress rule; must be on 53; cannot be elevated PS player; two bona fide QBs on 47/48 active list required; listed on Gameday Administration Report at 90-minute meeting,none,2023 bylaw,static,n/a,n/a,HTML,free,UNKNOWN,n/a,html,none,2024 amendment status UNKNOWN in this session,none,2026-09-21T18:00Z,current-year amendments
nfl_injury_policy,NFL injury report categories (2016 revision),https://www.nfl.com/news/competition-committee-approves-revisions-to-injury-report-0ap3000000688693,NFL,official,availability tiers 2 and 4 semantics,DNP; Limited (<100% of normal reps); Full (100%); Questionable (uncertain); Doubtful (unlikely); Out (will not play),none,2016 onward,static,n/a,n/a,HTML,free,UNKNOWN,n/a,html,none,none,timing of reports not on page,2026-09-21T18:00Z,none
open_meteo_hist,"Open-Meteo Historical Weather API (ERA5, ERA5-Land)",https://open-meteo.com/en/docs/historical-weather-api,Open-Meteo,secondary reanalysis,weather covariates for training (observed conditions),"hourly wind_speed_10m, wind_gusts_10m, temperature_2m, relative_humidity_2m, precipitation, snowfall, weather_code",lat/lon,ERA5 1940 to present at 0.25 deg; ERA5-Land 1950 to present at 0.1 deg,daily with 5 day delay,valid time per hour,reanalysis is not point-in-time forecast; see historical forecast API,HTTPS JSON API,free non-commercial tier; paid commercial,https://open-meteo.com/en/terms (not fetched),API designed for automation; commercial use requires paid plan (UNKNOWN details),json,stadium lat/lon and kickoff UTC,reanalysis is only known after the fact; never use as a pre-kickoff input,25 km grid; open-roof stadium microclimate not captured,2026-09-21T18:00Z,commercial license terms
open_meteo_hist_forecast,Open-Meteo Historical Forecast API,https://open-meteo.com/en/docs/historical-forecast-api,Open-Meteo,secondary archived forecasts,pre-kickoff weather feature (point-in-time proxy),same hourly variables as forecast API; archived model runs stitched,lat/lon,2021 or 2022 onward depending on model,continuous,run initialization implied; as-issued forecast retrieval UNKNOWN,"PARTIAL: stitched first hours of successive runs, not the forecast as issued at T-72",HTTPS JSON API,free non-commercial; paid commercial,UNKNOWN,API,json,stadium lat/lon,"stitched series approximates nowcast, not the T-72 forecast","model versions change over time; stitched operational series, not the run as issued; superseded for as-issued needs by open_meteo_single_runs",2026-09-21T18:00Z,whether previous-runs endpoint returns exact as-issued forecasts
meteostat_hourly,Meteostat station hourly observations,https://dev.meteostat.net/api/stations/hourly.html,"Meteostat (aggregating NOAA ISD, DWD and others)",secondary aggregation of official observations,observed weather for training and post-game grading,"temp, dwpt, rhum, prcp, snow, wdir, wspd, wpgt, pres, tsun, coco",station id,station dependent,observations arrive 2 to 3 hours after; max 30 days per request,observation time,observations only,RapidAPI JSON (key required),free tier via RapidAPI; paid tiers,UNKNOWN,API,json,nearest station to stadium,model-filled gaps when model=true,station distance from stadium,2026-09-21T18:00Z,license for redistribution
noaa_isd,NOAA NCEI Integrated Surface Database,https://www.ncei.noaa.gov/products/land-based-station/integrated-surface-database,NOAA NCEI,official observations,"observed weather, canonical","hourly and synoptic surface observations: wind, temperature, pressure, precipitation, sky",USAF-WBAN station id,"1901 to present; more than 14,000 active stations updated daily",daily,observation time,observations only,bulk files and NCEI access services,free,US Government work (not fetched),public data,"fixed-width ASCII, csv",nearest station,none for post-game use; never a pre-kickoff input,parsing complexity,2026-09-21T18:00Z,none
dk_rules_json,DraftKings Rules and Scoring JSON,https://api.draftkings.com/rules-and-scoring/RulesAndScoring.json,DraftKings,official,"DFS scoring transform (Classic, Showdown)","NFL Classic: pass TD 4, 0.04 per pass yd, 300+ bonus 3, INT -1, rush TD 6, 0.1 per rush yd, 100+ bonus 3, rec TD 6, 0.1 per rec yd, 100+ bonus 3, reception 1, return TD 6, fumble lost -1, 2pt 2, off fumble rec TD 6; DST: sack 1, INT 2, FR 2, TDs 6, safety 2, blocked kick 2, 2pt/XP return 2, points allowed 0:10, 1-6:7, 7-13:4, 14-20:1, 21-27:0, 28-34:-1, 35+:-4","gameTypes ids (1,158 Classic; 96,159 Showdown)",current rules only,on rule change,none,NO; self-archive per season,HTTPS JSON,free,https://www.draftkings.com/help/terms (not fetched),UNKNOWN,json,none,rule changes across seasons,HTML embedded in JSON,2026-09-21T18:00Z,Showdown-specific text not fully extracted this session
dk_contest_csv,DraftKings contest standings CSV,https://support.draftkings.com/dk/en-us/how-does-draftkings-keep-fantasy-sports-contests-transparent?id=kb_article_view&sysparm_article=KB0010720,DraftKings,official (per-contest export),ownership model labels; duplication labels; field generation validation,"Rank, EntryName, TimeRemaining, Points, Lineup; Player, Roster Position, %Drafted, FPTS",DK player names; no stable id in CSV,contests the account entered or can view,"downloadable after lock, live and final",none,final only unless downloaded during contest,authenticated download,free with account,UNKNOWN,UNKNOWN; account terms,csv,DK name to salary id to gsis (salary identity axis),live points are estimates,one contest at a time,2026-09-21T18:00Z,bulk historical access
pfr_advstats_pass,nflverse PFR advanced passing,https://nflreadr.nflverse.com/articles/dictionary_pfr_passing.html,nflverse; upstream PFR,secondary,QB pressure and accuracy priors; OL unit proxy,"pocket_time, times_blitzed, times_hurried, times_pressured, pressure_pct, bad_throws, bad_throw_pct, drops, drop_pct, on_tgt_throws, on_tgt_pct",pfr_id,2019 onward (https://github.com/nflverse/nflreadr/blob/main/R/load_pfr_advstats.R),UNKNOWN,none,post-game facts,HTTPS GET,free,UNKNOWN,technically automatable,parquet,pfr_id to gsis_id,none,PFR charting definitions,2026-09-21T18:00Z,rush and receiving advstats fields not inspected
espn_win_rates,"ESPN pass block, pass rush, run block, run stop win rates",https://www.espn.com/nfl/story/_/id/49672562/nfl-new-pass-block-push-rush-win-rates-formula-takeaways-analytics,ESPN Analytics (NGS tracking derived),secondary published metric,OL and pass-rush matchup features (article-published only),team and player win rates at 2.5 s threshold; weak-link unit logic,names,2016 onward tracking; articles per season,weekly articles,article date,NO machine-readable history,HTML articles,free articles; no API,UNKNOWN,UNKNOWN,html,name to gsis_id,article snapshots may include the current week,not downloadable; do not build a dependency,2026-09-21T18:00Z,none
nfldata_datasets,"nflverse nfldata datasets (games, draft picks, draft values)",https://github.com/nflverse/nfldata/blob/master/DATASETS.md,Lee Sharpe / nflverse,secondary,"schedule, coaches, roof, surface, referee; draft capital prior","games.csv incl home_coach, away_coach, roof, surface, temp, wind, referee, stadium; draft_picks.csv incl season, team, round, pick, playerid (PFR), side, category","game_id, PFR playerid",1999 onward games; drafts 2000 onward,games.csv updated in season,none,none,raw GitHub CSV https://github.com/nflverse/nfldata/raw/master/data/games.csv,free,UNKNOWN,technically automatable,csv,game_id; PFR id to gsis via players.parquet,games.csv weather fields are post-game; result fields present,draft_picks joined by name for pre-2000,2026-09-21T18:00Z,none
nflverse_draft_picks,nflverse draft picks (PFR),https://nflreadr.nflverse.com/articles/dictionary_draft_picks.html,nflverse; upstream PFR,secondary,cold-start prior: draft capital,"season, round, pick, team, gsis_id, pfr_player_id, cfb_player_id, position, category, side, college, age, career stats","gsis_id, pfr_player_id, cfb_player_id",1980 onward per nflverse,annual,n/a,n/a,HTTPS GET release asset draft_picks,free,UNKNOWN,technically automatable,parquet,gsis_id; cfb_player_id to college data,"career columns are future information; use only round, pick, season",none,2026-09-21T18:00Z,none
cfbfastr_pbp,cfbfastR college play-by-play (CFBD),https://cfbfastr.sportsdataverse.org/reference/cfbd_pbp_data.html,sportsdataverse; upstream CollegeFootballData,secondary,college usage translation prior (experimental),play-level with EP and WP,CFBD athlete ids; cfb_player_id bridge UNKNOWN,UNKNOWN in this session,UNKNOWN,none,n/a,CFBD API key,free tier with key; paid tiers,UNKNOWN,API,json,cfb_player_id bridge unverified,none,id bridge unresolved,2026-09-21T18:00Z,id bridge; value of college usage signal
sportradar_nfl,"Sportradar NFL roster feeds (documented, paid)",https://developer.sportradar.com/football/docs/nfl-ig-rosters,Sportradar,commercial primary-adjacent,not adopted (commercial vendor rule); documented for identifier semantics only,"Team Roster (active, inactive, practice squad), Team Profile, Player Profile with seasons[], Daily Change Log",sportradar_id UUID,vendor,review daily; change log,change log,vendor,paid API,paid,UNKNOWN,license required,"json, xml",sportradar_id present in nflverse rosters,n/a,not adopted as a dependency per owner instruction of 2026-09-14 18:51 UTC (session turn 125: commercial systems may be studied only to identify capability gaps to reproduce independently); documented here for the free-versus-paid comparison the mandate requests; adoption for a specific gap is an owner decision item (gap E-18),2026-09-21T18:00Z,none; pricing and redistribution terms UNKNOWN (not requested)
ftn_catalog,FTN Data NFL catalog (paid; schema only),https://ftnfantasy.com/ftn-data-nfl-catalog,FTN Data,commercial,"not adopted; schema reference for what charting fields exist (routes, alignment, coverage)","PBP feed fields gid, pid, off, def, type, dwn, ytg, yfog, bc, psr, trg, loc, dir; charting feed",FTN ids,vendor,vendor,UNKNOWN,UNKNOWN,paid,paid,UNKNOWN,license required,"csv, api",FTN id crosswalk UNKNOWN,n/a,not adopted as a dependency per owner instruction of 2026-09-14 18:51 UTC (session turn 125: commercial systems may be studied only to identify capability gaps to reproduce independently); documented here for the free-versus-paid comparison the mandate requests; adoption for a specific gap is an owner decision item (gap E-18); also researched in a separate vendor-qualification thread that is not blended here,2026-09-21T18:00Z,none; pricing UNKNOWN (not requested)
open_meteo_single_runs,Open-Meteo Single Runs API,https://open-meteo.com/en/docs/single-runs-api,Open-Meteo,weather forecast archive (individual model runs),XI weather,full forecast horizon of one model run selected by run=YYYY-MM-DDTHH:MM (UTC initialisation); hourly and daily variables per model,"lat, lon, model, run init time",ECMWF IFS HRES 9 km from March 2024; most other models from 2026-04-02,per model run,run initialisation time is explicit; publication (first-available) time not exposed on the page,"yes, exact run by initialisation time",HTTPS GET,free non-commercial tier stated elsewhere on site; licence field on this page not captured,UNKNOWN,UNKNOWN,JSON,stadium coordinates; kickoff time to choose run,a run is admissible at a cut only if init time plus measured availability latency is at or before the cut; latency UNKNOWN until logged (T-31),run structure preserved; no per-run publication timestamp; model availability start dates vary,2026-09-21T19:20Z,per-model publication latency; licence and commercial terms; whether archived runs are byte-identical to what was served live
open_meteo_previous_runs,Open-Meteo Previous Runs API,https://open-meteo.com/en/docs/previous-runs-api,Open-Meteo,weather forecast archive (fixed lead-time offsets),XI weather (fallback before single-runs archive start),variables suffixed _previous_day1 to _previous_day7 (forecast issued 1 to 7 days earlier for the same target time),"lat, lon, model",most models from January 2024; GFS 2 m temperature from March 2021,per model run,no explicit run init or publication time; lead-time offset only,"approximate (day offsets, not exact runs)",HTTPS GET,free non-commercial tier stated elsewhere on site; licence field not captured,UNKNOWN,UNKNOWN,JSON,stadium coordinates,day offsets do not identify the exact run available at a pre-kickoff cut; label WEATHER_PROXY,coarser than single runs,2026-09-21T19:20Z,licence; which run within the day the offset refers to
