task_id,objective,dependencies,required_sources,implementation_outline,output_artifacts,acceptance_criteria,validation_plan,blocked_product_scopes,research_uncertainty
T-25,"Prop functionals from worlds with push handling, alternate lines, MC SE and family calibration (distributional first)","T-17, T-21","world_player_stats, Hard Rock capture files as evaluation data","P_over, P_under, P_push; PIT quantile mapping per family; post-hoc event calibration as diagnostic",prop_probability records,"G-XVIII-1, G-XVIII-2, G-XIX-1, G-XIX-2",forward-chain calibration origins,P1,medium
T-26,Market comparison and SGP joint probabilities as evaluation layer,T-25,"Hard Rock captures, OddsJam no-vig formula reference",de-vig; score differences; joint indicator means with MC SE,comparison tables,"G-XX-1, G-XX-2, G-XXI-1",weekly,"P1, P2 verdicts (NO_SUPPORTED_EDGE logic)",low
T-27,DFS scoring transform per world with versioned DK rules; Classic and Showdown,"T-17, T-08",dk_rules_json,apply constants and bonuses per world; captain multiplier; rules_version hash,dfs world points,G-XXIV-1 match to contest CSV points,historical contests,"D1, D2",low
T-28,"Ownership, field generation and duplication with contest CSV labels",T-27,"dk_contest_csv, Haugh and Singal, REPO DFS report",Dirichlet-multinomial field; stack propensities; duplication via field probability,field samples; duplication estimates,"G-XXV-1, G-XXVI-1, G-XXVII-1",held-out contests chronologically,"D3, D4",medium (label access)
T-29,Contest simulation and portfolio objective,T-28,contest payout tables,joint scoring of our lineups and field on the same worlds; ROI distributions,contest sim outputs,G-XXVIII-1,entered contests PIT,D5,medium
T-30,"Verdict-first UX and observability: gate dashboard, freshness, reason codes, evidence timestamps, uncertainty decomposition","T-21, T-24","gate_result, release_manifest",render from records only; no prose overrides,dashboard,"every displayed projection shows verdict, reason codes and evidence list",usability review against Part XLVI list,N1 to N3,low
T-31,Weather run availability log: record initialisation time and first-seen time per Open-Meteo model for four weeks; derive L_model; capture licence text,T-03,"open_meteo_single_runs, open_meteo_previous_runs, Open-Meteo model-updates page","hourly poller writing (model, run_init, first_seen) rows; compute latency distribution per model; store licence capture",weather_run_latency.parquet; licence capture,L_model estimated with interval per model; licence recorded in registry,compare admitted runs against poller log on held-out weeks,F1 (WEATHER_PROXY until done),medium
T-32,"Coherence-preserving calibration by world reweighting (Block XIX): family PIT maps forward-chain, raking to targets with weight-ratio cap, ESS floor, diagnostic post-hoc calibration","T-13, T-15",past release PIT records,fit family maps on origins before evaluation origin; IPF over families; record weight vector hash in manifest; CALIBRATION_INFEASIBLE when cap or ESS violated,world_weights.parquet; calibration_state per family,G-XIX-1 to G-XIX-4 evaluated with intervals,prospective PIT after reweighting per family,"P1.*, P2, D1 to D5",medium
T-33,DST scoring-event attribution: tag every scoring play with scoring_unit and conceding_unit_on_field; implement DK enumerated-set points-allowed functional; reconcile to contest CSV DST points,"T-13, T-17",DraftKings RulesAndScoring.json capture (hashed),"emit world_scoring_events; compute dst_points_allowed_dk; unit test on pick-six, fumble-return TD, safety, offense-recovers-fumble cases",world_scoring_events table; DK point recompute,G-XXII-3 and G-XXIV-1 exact,historical contest CSV reconciliation,"F5, D1, D2",low
T-34,"Nested Monte Carlo variance estimator and draw-count controller (Block XV): ANOVA components over param, scenario and world levels; common random numbers for differences; report MC SE per exposed row",T-13,none,"CORRECTED: MC variance of the grand mean is s_M^2/M ALONE (unbiased; the parameter-level means already contain lower-level noise). Variance components for the expand-which-level controller come from expected mean squares: sigma_N^2 = MS_N, sigma_K^2 = (MS_K - MS_N)/N, sigma_M^2 = (MS_M - MS_K)/(K N). Predictive variance and Monte Carlo error are reported as separate quantities. Reference implementation and synthetic validation: nested_mc.py, test_nested_mc.py",mc_error columns; variance component report,G-XV-1 to G-XV-3,synthetic tests with known variance components,"F1 to F5, P1.*, P2, D5, N3",low
T-35,"Uncertainty of the FITTED world-weight vector (Block XIX), which the self-normalised interval conditions away","T-32, T-34",past release PIT records,"block-bootstrap the raking fit over calibration origins, clustered by week; refit weights per bootstrap replicate; propagate into the exposed-quantity interval; compare against the conditional interval to size the understatement",weight_uncertainty report; widened intervals per exposed row,the unconditional interval is reported wherever weights are fitted; the conditional-only interval is never exposed without a label,synthetic weights with known target noise; then prospective origins,"P1.*, P2, D1 to D5 intervals",high
T-36,Offer-level EV evaluation separated from family-level market validation,"T-25, T-26, T-34",Hard Rock captures (evaluation only),"offer_edge.evaluate_offer: price, line, side, settlement and push rule, observation timestamp, staleness bound, EV interval inheriting the probability MC SE. No sportsbook quantity flows upstream into the football model",offer_edge records with their own verdict domain,"a DEPLOYABLE family can still contain an EV_INCLUDES_ZERO offer, and an offer can never promote a scope","synthetic prices; then captured boards, evaluation only",none (downstream of P1),low
